,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5478,-48.889,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186594.441,-187500.022,-187500.022,-187500.022,-187500.022
5479,-48.921,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186564.244,-187500.022,-187500.022,-187500.022,-187500.022
5480,-48.925,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186584.026,-187500.022,-187500.022,-187500.022,-187500.022
5481,-48.930,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186552.554,-187500.022,-187500.022,-187500.022,-187500.022
5482,-48.934,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186573.520,-187500.022,-187500.022,-187500.022,-187500.022
5483,-48.939,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186538.719,-187500.022,-187500.022,-187500.022,-187500.022
5484,-48.944,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186564.200,-187500.022,-187500.022,-187500.022,-187500.022
5485,-48.949,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186531.789,-187500.022,-187500.022,-187500.022,-187500.022
5486,-48.953,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186550.096,-187500.022,-187500.022,-187500.022,-187500.022
5487,-48.981,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186521.597,-187500.022,-187500.022,-187500.022,-187500.022
5488,-48.986,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186538.227,-187500.022,-187500.022,-187500.022,-187500.022
5489,-48.990,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186515.204,-187500.022,-187500.022,-187500.022,-187500.022
5490,-48.995,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186524.659,-187500.022,-187500.022,-187500.022,-187500.022
5491,-48.999,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186507.761,-187500.022,-187500.022,-187500.022,-187500.022
5492,-49.004,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186508.454,-187500.022,-187500.022,-187500.022,-187500.022
5493,-49.009,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186498.329,-187500.022,-187500.022,-187500.022,-187500.022
