eeg1,eeg2,eeg3,eeg4,eeg5,time
589.35546875, 173.33984375, 352.5390625, 104.4921875, 0.0, 1622079575.1767569
865.72265625, 195.3125, 450.68359375, 162.59765625, 0.0, 1622079575.180663
-716.30859375, 101.5625, 485.83984375, 23.4375, 0.0, 1622079575.1845694
-1000.0, 83.984375, 381.34765625, -54.6875, 0.0, 1622079575.1884756
-54.6875, 118.65234375, 338.37890625, 60.05859375, 0.0, 1622079575.1923819
-824.21875, 150.87890625, 453.125, 198.73046875, 0.0, 1622079575.196288
31.25, 92.7734375, 512.20703125, 51.26953125, 0.0, 1622079575.2001944
-1000.0, 71.2890625, 414.55078125, -104.98046875, 0.0, 1622079575.2041006
-238.76953125, 84.9609375, 358.88671875, 13.671875, 0.0, 1622079575.2080069
-822.265625, 67.87109375, 415.52734375, 166.50390625, 0.0, 1622079575.211913
243.1640625, 56.640625, 444.3359375, 60.546875, 0.0, 1622079575.2158194
-1000.0, 54.6875, 398.4375, -73.2421875, 0.0, 1622079575.2197256
-581.54296875, 82.03125, 286.62109375, -56.640625, 0.0, 1622079575.2236319
-964.84375, 107.421875, 264.6484375, 85.44921875, 0.0, 1622079575.227538
614.74609375, 89.35546875, 369.140625, 108.3984375, 0.0, 1622079575.2314444
-976.5625, 16.11328125, 391.11328125, -36.1328125, 0.0, 1622079575.2353506
-997.0703125, 253.90625, 341.30859375, -5.37109375, 0.0, 1622079575.2392569
502.44140625, 358.88671875, 310.05859375, 137.6953125, 0.0, 1622079575.243163
-929.19921875, 74.70703125, 329.58984375, 129.39453125, 0.0, 1622079575.2470694
-355.95703125, 51.7578125, 436.03515625, 22.4609375, 0.0, 1622079575.2509756
-1000.0, 111.81640625, 379.39453125, -42.96875, 0.0, 1622079575.2548819
-183.10546875, 104.4921875, 283.69140625, 39.0625, 0.0, 1622079575.258788
-824.70703125, 87.40234375, 346.6796875, 150.87890625, 0.0, 1622079575.2626944
198.73046875, 79.58984375, 437.5, 83.0078125, 0.0, 1622079575.2666006
-1000.0, 75.1953125, 380.859375, -41.9921875, 0.0, 1622079575.2705069
-303.7109375, 98.6328125, 286.62109375, 1.46484375, 0.0, 1622079575.274413
-827.1484375, 100.5859375, 326.66015625, 128.90625, 0.0, 1622079575.2783194
302.734375, 122.0703125, 460.44921875, 135.25390625, 0.0, 1622079575.2822256
-1000.0, 175.78125, 504.39453125, 64.94140625, 0.0, 1622079575.2861319
-753.41796875, 99.609375, 338.8671875, 9.765625, 0.0, 1622079575.290038
848.6328125, 62.01171875, 273.92578125, 82.51953125, 0.0, 1622079575.2939444
792.48046875, 33.203125, 421.38671875, 152.34375, 0.0, 1622079575.2978506
-750.9765625, 12.20703125, 500.0, 64.94140625, 0.0, 1622079575.3017569
-1000.0, 30.76171875, 348.14453125, -54.19921875, 0.0, 1622079575.305663
110.83984375, 43.9453125, 256.34765625, 25.87890625, 0.0, 1622079575.3095694
-833.0078125, 47.8515625, 357.91015625, 122.0703125, 0.0, 1622079575.3134756
-133.30078125, 26.85546875, 434.08203125, 29.78515625, 0.0, 1622079575.3173819
-1000.0, 32.2265625, 350.5859375, -68.84765625, 0.0, 1622079575.321288
-226.5625, 70.80078125, 262.20703125, 0.48828125, 0.0, 1622079575.3251944
-826.171875, 29.78515625, 324.70703125, 118.1640625, 0.0, 1622079575.3291006
236.328125, -13.671875, 424.8046875, 53.22265625, 0.0, 1622079575.3330069
-1000.0, -3.41796875, 377.44140625, -59.5703125, 0.0, 1622079575.336913
-417.96875, 70.80078125, 266.6015625, -36.62109375, 0.0, 1622079575.3408194
-867.1875, -165.52734375, 362.79296875, 164.55078125, 0.0, 1622079575.3447256
371.58203125, -234.86328125, 465.8203125, 164.55078125, 0.0, 1622079575.3486319
-1000.0, -25.390625, 380.859375, -65.4296875, 0.0, 1622079575.352538
-873.046875, 90.33203125, 287.59765625, -95.703125, 0.0, 1622079575.3564444
705.56640625, 182.6171875, 292.96875, 62.5, 0.0, 1622079575.3603506
850.09765625, -2.44140625, 365.234375, 92.28515625, 0.0, 1622079575.3642569
-694.3359375, 7.8125, 396.484375, -43.9453125, 0.0, 1622079575.368163
-1000.0, -30.2734375, 344.23828125, -82.03125, 0.0, 1622079575.3720694
-2.9296875, -268.06640625, 332.51953125, 77.63671875, 0.0, 1622079575.3759756
-818.359375, -115.72265625, 354.4921875, 149.90234375, 0.0, 1622079575.3798819
-5.859375, 149.90234375, 384.27734375, 15.625, 0.0, 1622079575.383788
-1000.0, -88.37890625, 384.27734375, -50.78125, 0.0, 1622079575.3876944
-236.328125, -235.3515625, 311.03515625, 29.296875, 0.0, 1622079575.3916006
-823.2421875, 102.05078125, 319.3359375, 117.67578125, 0.0, 1622079575.3955069
243.1640625, 182.12890625, 416.50390625, 64.453125, 0.0, 1622079575.399413
-1000.0, -33.69140625, 406.73828125, -36.62109375, 0.0, 1622079575.4033194
-542.96875, -38.57421875, 300.29296875, -23.4375, 0.0, 1622079575.4072256
-929.19921875, 172.36328125, 272.4609375, 83.0078125, 0.0, 1622079575.4111319
500.9765625, 135.25390625, 355.46875, 88.37890625, 0.0, 1622079575.415038
-1000.0, 103.02734375, 416.50390625, -25.390625, 0.0, 1622079575.4189444
-1000.0, 107.91015625, 316.89453125, -59.5703125, 0.0, 1622079575.4228506
433.10546875, 140.13671875, 231.93359375, 32.2265625, 0.0, 1622079575.4267569
-988.28125, 137.20703125, 319.82421875, 95.21484375, 0.0, 1622079575.430663
-470.703125, -18.5546875, 443.84765625, 54.6875, 0.0, 1622079575.4345694
-1000.0, 2.9296875, 362.79296875, -39.55078125, 0.0, 1622079575.4384756
-158.69140625, 143.06640625, 230.95703125, -8.7890625, 0.0, 1622079575.4423819
-826.171875, 116.2109375, 310.546875, 103.515625, 0.0, 1622079575.446288
150.390625, 69.3359375, 402.34375, 33.203125, 0.0, 1622079575.4501944
-1000.0, 61.03515625, 327.63671875, -83.0078125, 0.0, 1622079575.4541006
-261.71875, 133.30078125, 224.12109375, -56.640625, 0.0, 1622079575.4580069
-819.82421875, 62.98828125, 286.62109375, 90.8203125, 0.0, 1622079575.461913
246.58203125, -91.30859375, 389.16015625, 74.70703125, 0.0, 1622079575.4658194
